species,count
Salix,331
Carex,314
Poa,295
Haworthia,283
Crataegus,267
Rubus,220
Gossypium,189
Colchicum,152
Crotalaria,150
Psoralea,148
Potentilla,141
Festuca,140
Combretum,139
Echeveria,138
Solanum,135
Draba,131
Puccinellia,128
Aloe,125
Erigeron,108
Ficus,106
Psychotria,98
Bromus,95
Pedicularis,95
Diospyros,94
Acacia,92
Artemisia,83
Dendrobium,82
Trifolium,82
Clivia,81
Vaccinium,79
Ipomoea,76
Calamagrostis,76
Tamarix,75
Leucopogon,74
Piper,74
Nepenthes,73
Astragalus,70
Ocotea,68
Otholobium,67
Solidago,66
Elymus,65
Ficinia,65
Syzygium,64
Cordia,63
Symphyotrichum,62
Taraxacum,62
Ribes,61
Justicia,61
Deschampsia,58
Antennaria,57
Saxifraga,57
Lonchocarpus,56
Silene,55
Acer,55
Paphiopedilum,54
Juncus,54
Bulbophyllum,52
Dioscorea,51
Maianthemum,51
Cyperus,50
Papaver,49
Pleurothallis,49
Agrostis,49
UNVERIFIED:,48
Galium,47
Anemone,47
Betula,47
Persicaria,47
Austrostipa,46
Oxytropis,46
Euphorbia,46
Stellaria,45
Eugenia,45
Stanhopea,44
Eriophorum,44
Cornus,43
Oncidium,43
Zanthoxylum,43
Ranunculus,41
Prunus,41
Arnica,41
Croton,40
Cerastium,40
Halodule,40
Santiria,40
Senna,39
Minuartia,39
Machaerium,38
Coccoloba,38
Smilax,38
Lonicera,37
Micranthes,37
Asteraceae,37
Tabebuia,36
Poaceae,36
Ardisia,36
Indigofera,36
Inga,35
Eragrostis,35
Artocarpus,35
Halophila,34
Randia,34
Trichilia,34
Searsia,34
Rhododendron,34
Maxillaria,34
Asclepias,34
Cola,33
Grewia,33
Hibiscus,33
Erica,33
Stachytarpheta,32
Leucadendron,32
Campanula,32
Oryza,32
Capparis,32
Bidens,32
Passiflora,31
Cardamine,31
Alopecurus,31
Plantago,30
Sida,30
Achillea,30
Protea,30
Chenopodium,30
Rinorea,29
Albizia,29
Anthurium,29
Hieracium,29
Cirsium,29
Pueraria,29
Claytonia,29
Rhynchospora,28
Lathyrus,28
Viburnum,28
Mimosa,28
Leymus,28
Cissus,28
Barleria,27
Viola,27
Polygala,27
Helichrysum,27
Cryptocarya,27
Casearia,27
Verbena,27
Platanthera,27
Rumex,27
Epidendrum,27
Epilobium,27
Sporobolus,27
Populus,26
Vachellia,26
Hippuris,26
Astroloma,26
Packera,25
Nectandra,25
Gentianella,25
Braya,25
Impatiens,25
Pyrola,25
Distephanus,25
Cestrum,25
Stelis,25
Gasteria,25
Senegalia,25
Strychnos,25
Lupinus,24
Cupania,24
Vernonia,24
Setaria,24
Nassella,24
Aralia,24
Fragaria,24
Ruellia,23
Tetracera,23
Cecropia,23
Alnus,23
Tephroseris,23
Senecio,23
Ilex,23
Thalictrum,23
Euclea,23
Aglaia,23
Quercus,23
Heliconia,23
Celtis,23
Dracula,23
Cinnamomum,23
Phalaenopsis,23
Desmodium,22
Salvia,22
Erythroxylum,22
Dianthus,22
Anthoxanthum,22
Digitaria,22
Hedysarum,22
Chamerion,22
Scutellaria,22
Masdevallia,22
Chrysophyllum,22
Primula,22
Litsea,22
Empetrum,21
Lobelia,21
Commelina,21
Polygonum,21
Mentha,21
Ocimum,21
Fraxinus,21
Xylopia,21
Lomatium,21
Begonia,21
Osmorhiza,21
Vitex,21
Scaphosepalum,21
Veronica,20
Castilleja,20
Philodendron,20
Oenothera,20
Parnassia,20
Terminalia,20
Garcinia,20
Dieffenbachia,20
Myrtaceae,20
Lantana,20
Corybas,20
Rosa,19
Hedyotis,19
Erysimum,19
Schoenus,19
Beilschmiedia,19
Lolium,19
Hordeum,19
Chamaedorea,19
Arctagrostis,19
Acalypha,19
Gymnosporia,19
Erythrina,19
Guettarda,19
Dichanthelium,19
Glyceria,19
Lysimachia,19
Pachyphytum,19
Ixora,19
Aphelandra,19
Trema,18
Urera,18
Aristida,18
Angraecum,18
Androsace,18
Clerodendrum,18
Cleome,18
Dacryodes,18
Sonchus,18
Besleria,18
Stemmadenia,18
Sanicula,18
Annona,18
Bistorta,18
Pinguicula,18
Aristolochia,18
Mikania,18
Cattleya,17
Luehea,17
Petasites,17
Parsonsia,17
Gaultheria,17
Maytenus,17
Vicia,17
Pisonia,17
Jasminum,17
Corylus,17
Amelanchier,17
Roupala,17
Geum,17
Abutilon,17
Pavetta,17
Sterculia,17
Arachnothryx,17
Swartzia,17
Carissa,17
Sideroxylon,17
Medicago,17
Byrsonima,16
Guatteria,16
Avicennia,16
Enneapogon,16
Trisetum,16
Achyranthes,16
Melanthera,16
Sabicea,16
Tofieldia,16
Pittosporum,16
Trillium,16
Streptopus,16
Allophylus,16
Trophis,16
Salacia,16
Linnaea,16
Persea,16
Calliandra,16
Calathea,16
Lasiacis,16
Sisyrinchium,16
Pfaffia,15
Maerua,15
Heliotropium,15
Euonymus,15
Tabernaemontana,15
Nephelium,15
Melia,15
Kleinia,15
Gongora,15
Byttneria,15
Leucanthemum,15
Isolepis,15
Dalbergia,15
Costus,15
Ziziphus,15
Psidium,15
Arctous,15
Trichoscypha,15
Spiraea,15
Mitella,15
Dryas,15
Iris,15
Dupontia,15
Rubiaceae,15
Tricalysia,14
Lippia,14
Monstera,14
Davilla,14
Hamelia,14
Stuckenia,14
Parrya,14
Hydrangea,14
Elaeocarpus,14
Phytolacca,14
Brachyloma,14
Oxalis,14
Polygonatum,14
Chrysosplenium,14
Cenchrus,14
Asparagus,14
Alternanthera,14
Eucalyptus,14
Phleum,14
Manilkara,14
Eriocoma,14
Echinochloa,14
Eurybia,14
Petrea,13
Pithecellobium,13
Sambucus,13
Cassia,13
Lycaste,13
Koeleria,13
Xylosma,13
Rhodamnia,13
Lactuca,13
Mucuna,13
Pouteria,13
Anisophyllea,13
Lycopus,13
Pterocarpus,13
Dendropanax,13
Guarea,13
Kobresia,13
Rubroshorea,13
Gymnanthemum,13
Comarum,13
Danthonia,13
Sparganium,13
Polystachya,13
Cynodon,13
Eryngium,13
Phragmipedium,13
Morus,13
Forsteronia,12
Rourea,12
Montia,12
Orthilia,12
Kalmia,12
Malpighia,12
Nabalus,12
Aspalathus,12
Homalium,12
Malvaviscus,12
Varronia,12
Barbarea,12
Clinopodium,12
Agrimonia,12
Myrcia,12
Canarium,12
Desmopsis,12
Sobralia,12
Heisteria,12
Malus,12
Cassiope,12
Dubautia,12
Boechera,12
Aporosa,12
Panicum,12
Lotus,12
Tournefortia,12
Tripleurospermum,12
Phyllanthus,12
Hydrophyllum,12
Hylodesmum,12
Verbesina,12
Styphelia,12
Bursera,11
Pavonia,11
Paspalum,11
Myrsine,11
Araceae,11
Descurainia,11
Menyanthes,11
Evolvulus,11
Hippocratea,11
Endiandra,11
Mansoa,11
Lycianthes,11
Urochloa,11
Liparis,11
Dactylis,11
Hybanthus,11
Ludwigia,11
Melampodium,11
Backhousia,11
Leucospermum,11
Hulteniella,11
Entada,11
Gardenia,11
Frangula,11
Dracaena,11
Shepherdia,11
Diervilla,11
Myrica,11
Bactris,11
Planchonella,11
Thunbergia,11
Arisaema,11
Erythronium,11
Ozoroa,11
Triglochin,11
Agave,11
Arabidopsis,11
Allosidastrum,11
Fabaceae,11
Melilotus,11
Phacelia,11
Cupaniopsis,11
Apocynum,11
Pilosella,11
Zygia,11
Adenia,11
Waltheria,11
Valeriana,11
Serjania,10
Acronychia,10
Gliricidia,10
Crescentia,10
Neustanthus,10
Denhamia,10
Lockhartia,10
Phalaris,10
Phlox,10
Veratrum,10
Sesbania,10
Brachychiton,10
Dioclea,10
Conocarpus,10
Turraea,10
Cissampelos,10
Phyllodoce,10
Rauvolfia,10
Pilea,10
Commiphora,10
Zapoteca,10
Lomandra,10
Myosotis,10
Eleocharis,10
Siparuna,10
Cinna,10
Heliocarpus,10
Caesalpinia,10
Chamaecrista,10
Carludovica,10
Cyphostemma,10
Rhamnus,10
Alectryon,10
Banisteriopsis,10
Billia,10
Villadia,10
Andropogon,10
Sorocea,10
Capsella,10
Daucus,10
Dicentra,10
Ostrya,10
Lepanthes,10
Clematis,10
Memecylon,10
Restio,10
Arctostaphylos,10
Licania,10
Dombeya,10
Helianthus,10
Rivina,10
Carpinus,10
Allium,10
Citrus,9
Hyptis,9
Petiveria,9
Cordyline,9
Geocaulon,9
Elephantopus,9
Muhlenbergia,9
Cypripedium,9
Pelargonium,9
Trichophorum,9
Prunella,9
Faramea,9
Arctium,9
Scoparia,9
Talauma,9
Andromeda,9
Philadelphus,9
Baccaurea,9
Leptonychia,9
Guzmania,9
Amaranthus,9
Cayratia,9
Oxyria,9
Physaria,9
Corallorhiza,9
Neea,9
Atriplex,9
Witheringia,9
Caltha,9
Pachira,9
Arrabidaea,9
Chiococca,9
Utricularia,9
Hymenostegia,9
Mimulus,9
Cynanchum,9
Bupleurum,9
Scleria,9
Cryptotaenia,9
Chlorophytum,9
Uvularia,9
Boehmeria,9
Epipactis,9
Bauhinia,9
Gurania,9
Baccharis,9
Strombosia,9
Brassia,9
Lepidium,9
Erechtites,9
Hydrocotyle,9
Lycium,9
Daphnopsis,9
Psydrax,9
Boscia,9
Anguloa,9
Cymbidium,9
Vepris,9
Rothmannia,9
Cussonia,9
Amphilophium,8
Prosartes,8
Neomarica,8
Parthenocissus,8
Vitis,8
Muntingia,8
Stizophyllum,8
Archidendron,8
Conyza,8
Eupatorium,8
Galeopsis,8
Rondeletia,8
Anaphalis,8
Matelea,8
Shorea,8
Paullinia,8
Scaphium,8
Tiarella,8
Laportea,8
Galearia,8
Houstonia,8
Gouania,8
Carica,8
Clitoria,8
Angylocalyx,8
Olea,8
Phippsia,8
Callichlamys,8
Cliffortia,8
Alstonia,8
Drymonia,8
Cymbopogon,8
Brachylaena,8
Dianella,8
Vochysia,8
Honckenya,8
Dodonaea,8
Alangium,8
Marsdenia,8
Sapium,8
Brosimum,8
Guazuma,8
Coelogyne,8
Ulmus,8
Urtica,8
Coussarea,8
Olyra,8
Plectranthus,8
Tetramolopium,8
Tagetes,8
Sloanea,8
Tilia,8
Rudbeckia,8
Oplismenus,8
Astroloba,8
Odontadenia,8
Phragmites,8
Koanophyllon,8
Syringodium,8
Elaeagnus,8
Chloris,8
Maclura,8
Acineta,8
Symplocos,8
Aerangis,8
Xanthophyllum,8
Cicuta,8
Euthamia,8
Yucca,8
Manihot,8
Enterolobium,8
Cornutia,8
Carya,8
Centaurea,8
Petunia,8
Vangueria,8
Champereia,8
Polyscias,8
Malva,8
Dysoxylum,8
Codiaeum,8
Mertensia,8
Russelia,8
Vanilla,8
Adinandra,8
Canthium,8
Rhizophora,8
Symphoricarpos,8
Trientalis,7
Mandevilla,7
Canna,7
Avena,7
Balanites,7
Convolvulus,7
Knema,7
Gymnacranthera,7
Bourreria,7
Horsfieldia,7
Prestonia,7
Araliaceae,7
Hymenaea,7
Timonius,7
Securidaca,7
Dipteracanthus,7
Aronia,7
Craterostigma,7
Sansevieria,7
Crinum,7
Stigmaphyllon,7
Diapensia,7
Centella,7
Sindora,7
Oxyanthus,7
Habenaria,7
Exostema,7
Platystele,7
Dovyalis,7
Circaea,7
Aethionema,7
Isachne,7
Bunchosia,7
Potamogeton,7
Pleuropetalum,7
Acanthaceae,7
Broussonetia,7
Nemophila,7
Peltostigma,7
Eirmocephala,7
Cassipourea,7
Hymenandra,7
Hyparrhenia,7
Encyclia,7
Suaeda,7
Arundinella,7
Dendrochilum,7
Hopea,7
Cojoba,7
Coutarea,7
Rhipidoglossum,7
Luzula,7
Toxicodendron,7
Priva,7
Atalaya,7
Gmelina,7
Aesculus,7
Callicarpa,7
Sium,7
Penstemon,7
Schefflera,7
Pseudognaphalium,7
Vernonanthura,7
Rollinia,7
Sagina,7
Drypetes,7
Pararistolochia,7
Bromelia,7
Iresine,7
Comandra,7
Simarouba,7
Diphysa,7
Leonotis,7
Deinbollia,7
Steinchisma,7
Goodyera,7
Hiraea,7
Magnolia,7
Heteropterys,7
Pericallis,7
Gentiana,7
Krugiodendron,7
Ximenia,7
Mascagnia,7
Cicerbita,7
Fagus,7
Clethra,7
Bignonia,7
Zexmenia,7
Ceanothus,7
Piscidia,7
Rhus,7
Calyptrogyne,7
Bartsia,7
Pipturus,7
Coptis,7
Chamaedaphne,7
Aruncus,7
Fritillaria,7
Arabis,7
Thesium,7
Cosmos,7
Acanthus,6
Alliaria,6
Notelaea,6
Morella,6
Aechmea,6
Palaquium,6
Arctophila,6
Arytera,6
Fleischmannia,6
Elaeodendron,6
Parathesis,6
Harrimanella,6
Alchornea,6
Pourouma,6
Columnea,6
Phoenix,6
Beckmannia,6
Genipa,6
Matricaria,6
Cynosurus,6
Myriophyllum,6
Bertiera,6
Holcus,6
Leontopodium,6
Fuirena,6
Oryzopsis,6
Cydista,6
Hampea,6
Ochanostachys,6
Tragopogon,6
Schizachne,6
Callitriche,6
Alibertia,6
Bonellia,6
Turpinia,6
Asarum,6
Themeda,6
Plumeria,6
Drosera,6
Securigera,6
Colubrina,6
Ochna,6
Vahlodea,6
Jumellea,6
Melaleuca,6
Protium,6
Verbascum,6
Myoporum,6
Trichopilia,6
Critonia,6
Arctanthemum,6
Cytisus,6
Mouriri,6
Chimaphila,6
Microdesmis,6
Lithophragma,6
Buddleja,6
Withania,6
Linaria,6
Hamamelis,6
Mollinedia,6
Vanda,6
Hypochaeris,6
Coreopsis,6
Psiadia,6
Acrotriche,6
Erucastrum,6
Calatola,6
Swietenia,6
Bruguiera,6
Thouinia,6
Arenaria,6
Physalis,6
Xylobium,6
Brachystegia,6
Schinus,6
Sapranthus,6
Alisma,6
Buxus,6
Prasoxylon,6
Passerina,6
Datura,6
Torreyochloa,6
Oncoba,6
Millettia,6
Baphia,6
Doliocarpus,6
Ligustrum,6
Excoecaria,6
Pharus,6
Urena,6
Chytranthus,6
Juglans,6
Rhynchosia,6
Belonophora,6
Schaefferia,6
Hoffmannia,6
Uvaria,6
Mendoncia,6
Linum,6
Coursetia,6
Hedera,6
Heuchera,6
Maesobotrya,6
Xanthosoma,6
Coleus,6
Aulacocalyx,6
Malaxis,6
Restrepia,6
Glechoma,6
Anthriscus,6
Pescatoria,6
Treculia,6
Delosperma,6
Strelitzia,6
Trochocarpa,6
Cochlearia,6
Hedyosmum,6
Reynosia,6
Cnestidium,6
Aira,6
