,Barcode,Species,gene,Volume(ml),note
0,1,Ficus Benjamina Fulvia,"rbcL, psbA-trnH, ITS",,No Note
1,2,Solanum Lycopersicum Fulvia,"matK, rbcL, ITS",,No Note
2,3,Hederal Helix Fulvia,"matK, rbcL, psbA-trnH, ITS",,No Note
3,4,Echeveria Agavoides Fulvia,"matK, rbcL, psbA-trnH, ITS",,No Note
4,5,Berberis aquifolium Campus,"psbA-trnH, ITS",,No Note
5,6,Berberis Julianae Campus,"matK, rbcL, psbA-trnH, ITS",,No Note
6,7,Viburnum Opulus Campus,"matK, rbcL, ITS",,No Note
7,8,Corylus avellana Campus,"matK, rbcL, psbA-trnH, ITS",,No Note
8,9,Tilia Cordata Campus,"matK, ITS",,No Note
9,10,Spirae trilobata Campus,"matK, rbcL, psbA-trnH, ITS",,No Note
