,Barcode,Species,gene,Volume(ml),note
0,1,Echeveria Miranda MN,ITS,,No Note
1,2,Echeveria Miranda Qiagen,ITS,,No Note
2,3,Cymbopogon Citrus Qiagen,"matK, rbcL, psbA-trnH, ITS",,No Note
3,4,Ficus Benjamina MN,"matK, rbcL, psbA-trnH, ITS",,No Note
4,5,Solanum Lycopersicum MN after 7d,"matK, rbcL",,No Note
5,6,Solanum Lycopersicum MN after 7d,"matK, rbcL",,No Note
6,7,Solanum Lycopersicum MN after 7d,"matK, rbcL",,No Note
7,8,Solanum Lycopersicum MN after 14d,"matK, rbcL",,No Note
8,9,Solanum Lycopersicum MN after 14d,"matK, rbcL",,No Note
9,10,Solanum Lycopersicum Qiagen RPA,rbcL,,No Note
